run_id,experiment,mode,latency_ms,drop_rate,offline_rate,scenario_id,start_at,end_at
40,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
41,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
41,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
41,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
41,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
41,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
41,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
42,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
42,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
42,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
42,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
42,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
42,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
43,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
43,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
43,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
43,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
43,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
43,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
44,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
44,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
44,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
44,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
44,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
44,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
45,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
45,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
45,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
45,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
45,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
45,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
46,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
46,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
46,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
46,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
46,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
46,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
47,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
47,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
47,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
47,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
47,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
47,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
48,drop_success,fault_tolerant,200,0.0,0.02,alarm_01,18.0,23.0
48,drop_success,fault_tolerant,200,0.0,0.02,alarm_02,60.0,65.0
48,drop_success,fault_tolerant,200,0.0,0.02,alarm_03,102.0,107.0
48,drop_success,fault_tolerant,200,0.0,0.02,alarm_04,144.0,149.0
48,drop_success,fault_tolerant,200,0.0,0.02,alarm_05,186.0,191.0
48,drop_success,fault_tolerant,200,0.0,0.02,alarm_06,228.0,233.0
49,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
49,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
49,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
49,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
49,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
49,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
50,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
50,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
50,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
50,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
50,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
50,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
51,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
51,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
51,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
51,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
51,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
51,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
52,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
52,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
52,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
52,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
52,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
